question,answer
Bubble sort example in Java,for(int i=0;i<n-1;i++) for(int j=0;j<n-1-i;j++) if(a[j]>a[j+1]){ int t=a[j]; a[j]=a[j+1]; a[j+1]=t; }
Binary search in sorted array (iterative),"int l=0,r=n-1; while(l<=r){ int mid=(l+r)/2; if(a[mid]==key) return mid; else if(a[mid]<key) l=mid+1; else r=mid-1; } return -1;"
Try-catch example in Java,"try{ int x = 5/0; } catch(ArithmeticException e){ System.out.println(e.getMessage()); } finally{ System.out.println(""clean up""); }"
Custom exception example in Java,"class MyEx extends Exception{ MyEx(String m){ super(m);} }
// throw new MyEx(""error"");"
Write text to file in Java,"import java.io.*;
try(FileWriter fw = new FileWriter(""out.txt"")) { fw.write(""Hello""); } catch(IOException e){ e.printStackTrace(); }"
Read text file line by line in Java,"import java.nio.file.*;
for(String line: Files.readAllLines(Paths.get(""in.txt""))) System.out.println(line);"
String vs StringBuilder vs StringBuffer,String is immutable. StringBuilder is mutable and not thread-safe (faster). StringBuffer is thread-safe (synchronized).
How to convert String to int and vice versa,"int x = Integer.parseInt(s);
String s = String.valueOf(x);"
Create a simple class and object example,"class Person{ String name; Person(String n){ name=n; } }
Person p = new Person(""Suraj""); System.out.println(p.name);"
GCD of two numbers (recursive),"int gcd(int a,int b){ return b==0?a:gcd(b,a%b); }"
Swap two numbers without temp variable,a = a + b; b = a - b; a = a - b; // for integers (beware overflow).
Check even or odd,"if(n%2==0) System.out.println(""even""); else System.out.println(""odd"");"
Lambda expression example Java 8,"List<Integer> nums = Arrays.asList(1,2,3);
nums.forEach(n -> System.out.println(n));"
Stream filter map example Java 8,List<String> names = ...; names.stream().filter(s->s.length()>3).map(String::toUpperCase).forEach(System.out::println);
Try-with-resources example,"try (BufferedReader br = new BufferedReader(new FileReader(""in.txt""))) { String s = br.readLine(); } catch(IOException e) { e.printStackTrace(); }"
Serialization example in Java,"class Person implements Serializable { String name; }
ObjectOutputStream oos = new ObjectOutputStream(new FileOutputStream(""p.obj"")); oos.writeObject(person); oos.close();"
java basics summary,"Java basics include syntax, data types, control flow, OOP fundamentals, exceptions, collections, and I/O. Practice small programs."
What is a class in Java?,"A class is a blueprint for creating objects, containing fields (variables) and methods (functions)."
What is an object in Java?,An object is an instance of a class with its own state and behavior.
Write a simple class and create object,"class Car{ String model; int year; Car(String m, int y){ model=m; year=y; } }
Car c = new Car(""Tesla"",2025); System.out.println(c.model + "" "" + c.year);"
What is a constructor in Java?,A constructor is a special method used to initialize objects. It has no return type and same name as class.
Constructor example in Java,"class Person{ String name; Person(String n){ name=n; } } Person p = new Person(""Suraj"");"
What is inheritance in Java?,Inheritance allows a class to acquire properties and methods of another class using 'extends' keyword.
Example of inheritance,"class Animal{ void eat(){System.out.println(""eat"");} } class Dog extends Animal{ void bark(){System.out.println(""bark"");} } Dog d = new Dog(); d.eat(); d.bark();"
What is polymorphism in Java?,Polymorphism allows objects to take many forms. It includes compile-time (method overloading) and runtime (method overriding).
Method overloading example,"class Calc{ int add(int a,int b){return a+b;} double add(double a,double b){return a+b;} }"
Method overriding example,"class Animal{ void sound(){System.out.println(""Animal"");} } class Dog extends Animal{ void sound(){System.out.println(""Bark"");} }"
What is encapsulation in Java?,Encapsulation is wrapping data (variables) and code (methods) together. Use private fields + public getters/setters.
Encapsulation example,class Person{ private String name; public String getName(){return name;} public void setName(String n){name=n;} }
What is abstraction in Java?,Abstraction hides implementation details using abstract classes or interfaces.
Abstract class example,"abstract class Shape{ abstract void draw(); } class Circle extends Shape{ void draw(){System.out.println(""Circle"");} }"
What is interface in Java?,An interface is a contract that defines abstract methods. Classes implement interfaces using 'implements' keyword.
Interface example,"interface Animal{ void sound(); } class Dog implements Animal{ public void sound(){System.out.println(""Bark"");} }"
What is inner class in Java?,A class defined inside another class. Can access outer class members.
Inner class example,class Outer{ int x=10; class Inner{ void show(){System.out.println(x);} } } Outer o = new Outer(); Outer.Inner i = o.new Inner(); i.show();
What is ArrayList in Java?,ArrayList is a resizable array implementation of List interface.
ArrayList example,"import java.util.*;
ArrayList<String> list = new ArrayList<>(); list.add(""A""); list.add(""B""); for(String s:list) System.out.println(s);"
What is HashMap in Java?,HashMap stores key-value pairs. Keys are unique. O(1) access on average.
HashMap example,"import java.util.*;
HashMap<String,Integer> map = new HashMap<>(); map.put(""A"",1); map.put(""B"",2); for(String k:map.keySet()) System.out.println(k+""=""+map.get(k));"
What is LinkedList in Java?,LinkedList is a doubly-linked list implementation of List and Deque interfaces.
LinkedList example,"import java.util.*;
LinkedList<Integer> ll = new LinkedList<>(); ll.add(1); ll.add(2); ll.removeFirst(); System.out.println(ll);"
Iterator example for ArrayList,Iterator<String> it = list.iterator(); while(it.hasNext()){ System.out.println(it.next()); }
What are generics in Java?,"Generics allow type-safe operations on collections, e.g., ArrayList<String> ensures only Strings."
Generic class example,class Box<T>{ T item; void set(T i){item=i;} T get(){return item;} } Box<Integer> b = new Box<>(); b.set(10); System.out.println(b.get());
Default method in interface (Java 8),"interface A{ default void show(){System.out.println(""default"");} } class B implements A{} new B().show();"
Functional interface example,"@FunctionalInterface interface Func{ void apply(); } Func f = ()->System.out.println(""Hi""); f.apply();"
java oop collections summary,"OOP concepts: class, object, inheritance, polymorphism, encapsulation, abstraction, interface. Collections: ArrayList, LinkedList, HashMap, Generics, Iterators."
Declare an integer array in Java,"int[] a = new int[5]; // size 5
int[] b = {1,2,3,4,5}; // initialization"
Access elements of an array,"int x = a[0]; // first element
for(int i=0;i<a.length;i++) System.out.println(a[i]);"
Find min element in array,int min = a[0]; for(int i=1;i<a.length;i++) if(a[i]<min) min=a[i]; System.out.println(min);
Sum of all elements in array,int sum=0; for(int i:a) sum+=i; System.out.println(sum);
Reverse an array in Java,for(int i=0;i<a.length/2;i++){ int t=a[i]; a[i]=a[a.length-1-i]; a[a.length-1-i]=t; }
Check if array contains a number,boolean found=false; for(int i:a) if(i==key) {found=true; break;}
Linear search in array,"for(int i=0;i<a.length;i++) if(a[i]==key) System.out.println(""Found at ""+i);"
Binary search in sorted array,"int l=0,r=a.length-1; while(l<=r){ int mid=(l+r)/2; if(a[mid]==key){System.out.println(mid); break;} else if(a[mid]<key) l=mid+1; else r=mid-1; }"
Bubble sort in Java,for(int i=0;i<n-1;i++) for(int j=0;j<n-1-i;j++) if(a[j]>a[j+1]){ int t=a[j]; a[j]=a[j+1]; a[j+1]=t; }
Selection sort in Java,for(int i=0;i<n-1;i++){ int min=i; for(int j=i+1;j<n;j++) if(a[j]<a[min]) min=j; int t=a[i]; a[i]=a[min]; a[min]=t; }
Insertion sort in Java,for(int i=1;i<n;i++){ int key=a[i]; int j=i-1; while(j>=0 && a[j]>key){ a[j+1]=a[j]; j--; } a[j+1]=key; }
Find second largest element in array,"int first=Integer.MIN_VALUE, second=Integer.MIN_VALUE; for(int i:a){ if(i>first){ second=first; first=i;} else if(i>second && i!=first) second=i; }"
Remove duplicates from array,Set<Integer> s = new HashSet<>(); for(int i:a) s.add(i); System.out.println(s);
Find subarray with given sum,"int sum=0,start=0; for(int i=0;i<a.length;i++){ sum+=a[i]; while(sum>target){ sum-=a[start]; start++; } if(sum==target) System.out.println(start+"" to ""+i); }"
Rotate array by k positions,int n=a.length; int[] temp = new int[n]; for(int i=0;i<n;i++) temp[(i+k)%n]=a[i]; a=temp;
Find majority element in array,"int count=0, candidate=0; for(int i:a){ if(count==0) candidate=i; if(i==candidate) count++; else count--; } System.out.println(candidate);"
Declare a string in Java,"String s = ""Hello"";"
String length in Java,int len = s.length();
Concatenate strings,"String s2 = s + "" World"";"
Compare strings,"s.equals(""Hello""); // content
s==""Hello""; // reference"
String substring example,"String sub = s.substring(1,4); // index 1 to 3"
Convert string to char array,char[] c = s.toCharArray();
Reverse a string,String rev = new StringBuilder(s).reverse().toString();
Check anagram of two strings,"char[] c1=s1.toCharArray(); char[] c2=s2.toCharArray(); Arrays.sort(c1); Arrays.sort(c2); if(Arrays.equals(c1,c2)) System.out.println(""Anagram"");"
Count vowels in string,"int count=0; for(char ch:s.toCharArray()) if(""aeiouAEIOU"".indexOf(ch)>=0) count++; System.out.println(count);"
Find first non-repeating character,"Map<Character,Integer> m=new HashMap<>(); for(char ch:s.toCharArray()) m.put(ch,m.getOrDefault(ch,0)+1); for(char ch:s.toCharArray()) if(m.get(ch)==1){ System.out.println(ch); break; }"
StringBuilder append example,"StringBuilder sb = new StringBuilder(""Hi""); sb.append("" World""); System.out.println(sb);"
StringBuilder insert example,"StringBuilder sb = new StringBuilder(""Hi""); sb.insert(2,"" Java""); System.out.println(sb);"
StringBuffer example,"StringBuffer sb = new StringBuffer(""Hi""); sb.append("" World""); System.out.println(sb); // thread-safe"
Find longest substring without repeating characters,"Set<Character> set = new HashSet<>(); int l=0,maxLen=0; for(int r=0;r<s.length();r++){ while(set.contains(s.charAt(r))){ set.remove(s.charAt(l)); l++; } set.add(s.charAt(r)); maxLen=Math.max(maxLen,r-l+1); } System.out.println(maxLen);"
Find all permutations of a string,"void permute(String str,String ans){ if(str.length()==0) System.out.println(ans); for(int i=0;i<str.length();i++){ char ch=str.charAt(i); String ros=str.substring(0,i)+str.substring(i+1); permute(ros,ans+ch); } }"
Count occurrence of each character in string,"Map<Character,Integer> m=new HashMap<>(); for(char c:s.toCharArray()) m.put(c,m.getOrDefault(c,0)+1); System.out.println(m);"
Declare 2D array in Java,"int[][] a = new int[3][3]; int[][] b = {{1,2,3},{4,5,6},{7,8,9}};"
Traverse 2D array,for(int i=0;i<a.length;i++) for(int j=0;j<a[i].length;j++) System.out.println(a[i][j]);
Sum of 2D array elements,int sum=0; for(int i=0;i<a.length;i++) for(int j=0;j<a[i].length;j++) sum+=a[i][j]; System.out.println(sum);
Find max in 2D array,int max=a[0][0]; for(int i=0;i<a.length;i++) for(int j=0;j<a[i].length;j++) if(a[i][j]>max) max=a[i][j]; System.out.println(max);
Check if two arrays are equal,"Arrays.equals(a,b);"
Merge two arrays,"int[] c = new int[a.length+b.length]; System.arraycopy(a,0,c,0,a.length); System.arraycopy(b,0,c,a.length,b.length);"
Find duplicate elements in array,Set<Integer> s = new HashSet<>(); for(int i:a){ if(!s.add(i)) System.out.println(i); }
Find missing number in 1 to n array,"int total=n*(n+1)/2, sum=0; for(int i:a) sum+=i; System.out.println(total-sum);"
java arrays strings summary,"Arrays: declaration, traversal, searching, sorting, reversal, 2D arrays, duplicates, sum, merge. Strings: length, compare, reverse, substring, palindrome, anagram, StringBuilder/Buffer, regex, permutations."
What is exception in Java?,"An exception is an event that disrupts normal flow of the program, e.g., ArithmeticException, NullPointerException."
Difference between checked and unchecked exceptions,"Checked: compile-time (IOException, SQLException). Unchecked: runtime (ArithmeticException, NullPointerException)."
Multiple catch blocks example,try{ ... } catch(ArithmeticException e){ ... } catch(ArrayIndexOutOfBoundsException e){ ... }
Throw keyword example,"void check(int n){ if(n<0) throw new IllegalArgumentException(""Negative""); }"
Throws keyword example,"void readFile() throws IOException { FileReader fr = new FileReader(""in.txt""); }"
Custom exception example,"class MyEx extends Exception{ MyEx(String msg){ super(msg); } } throw new MyEx(""error"");"
Read file using FileReader,"FileReader fr = new FileReader(""in.txt""); int ch; while((ch=fr.read())!=-1) System.out.print((char)ch); fr.close();"
Write file using FileWriter,"FileWriter fw = new FileWriter(""out.txt""); fw.write(""Hello""); fw.close();"
Read file using BufferedReader,"BufferedReader br = new BufferedReader(new FileReader(""in.txt"")); String line; while((line=br.readLine())!=null) System.out.println(line); br.close();"
Write file using BufferedWriter,"BufferedWriter bw = new BufferedWriter(new FileWriter(""out.txt"")); bw.write(""Hello""); bw.newLine(); bw.close();"
Try-with-resources for file,"try(BufferedReader br=new BufferedReader(new FileReader(""in.txt""))) { String s; while((s=br.readLine())!=null) System.out.println(s); } catch(IOException e){ e.printStackTrace(); }"
Read all lines using Files API,"List<String> lines = Files.readAllLines(Paths.get(""in.txt"")); for(String l:lines) System.out.println(l);"
Write all lines using Files API,"List<String> lines = Arrays.asList(""A"",""B""); Files.write(Paths.get(""out.txt""), lines);"
Check if file exists,"if(Files.exists(Paths.get(""file.txt""))) System.out.println(""Exists"");"
Copy file using Files API,"Files.copy(Paths.get(""src.txt""), Paths.get(""dest.txt""), StandardCopyOption.REPLACE_EXISTING);"
What is serialization in Java?,Serialization converts an object into a byte stream for storage or transmission.
What is deserialization in Java?,Deserialization converts a byte stream back into a Java object.
Serialization example,"class Person implements Serializable{ String name; }
Person p = new Person(); ObjectOutputStream oos = new ObjectOutputStream(new FileOutputStream(""p.obj"")); oos.writeObject(p); oos.close();"
Deserialization example,"ObjectInputStream ois = new ObjectInputStream(new FileInputStream(""p.obj"")); Person p = (Person) ois.readObject(); ois.close();"
Path example in Java NIO,"Path path = Paths.get(""file.txt""); System.out.println(path.toAbsolutePath());"
Read file using NIO Files.lines(),"Files.lines(Paths.get(""in.txt"")).forEach(System.out::println);"
Write file using NIO Files.write(),"List<String> lines = Arrays.asList(""A"",""B""); Files.write(Paths.get(""out.txt""), lines);"
Check if path exists using NIO,"if(Files.exists(Paths.get(""file.txt""))) System.out.println(""Exists"");"
Copy file using NIO Files.copy(),"Files.copy(Paths.get(""src.txt""), Paths.get(""dest.txt""), StandardCopyOption.REPLACE_EXISTING);"
Read integers from file and sum,"BufferedReader br = new BufferedReader(new FileReader(""nums.txt"")); String line; int sum=0; while((line=br.readLine())!=null) sum+=Integer.parseInt(line); System.out.println(sum); br.close();"
Handle multiple exceptions in one catch (Java 7+),try{ ... } catch(IOException | NumberFormatException e){ e.printStackTrace(); }
Throw exception from method,"void check(int n) throws IOException { if(n<0) throw new IOException(""Negative""); }"
Finally block example,"try{ ... } catch(Exception e){ ... } finally{ System.out.println(""Always executed""); }"
Suppress exceptions using try-with-resources,"try(FileReader fr=new FileReader(""in.txt"")) { ... } catch(IOException e){ e.printStackTrace(); } // Auto closes resource"
Create ByteBuffer in Java NIO,ByteBuffer buffer = ByteBuffer.allocate(1024);
Write data to ByteBuffer,buffer.put((byte)65); buffer.flip();
Read data from ByteBuffer,while(buffer.hasRemaining()) System.out.print((char)buffer.get());
FileChannel example,"RandomAccessFile file = new RandomAccessFile(""file.txt"",""rw""); FileChannel channel = file.getChannel(); ByteBuffer buffer = ByteBuffer.allocate(1024); channel.read(buffer); buffer.flip(); while(buffer.hasRemaining()) System.out.print((char)buffer.get()); channel.close(); file.close();"
Difference between FileInputStream and FileReader,"FileInputStream reads bytes, FileReader reads characters."
Difference between Serializable and Externalizable,Serializable: default serialization. Externalizable: custom read/write implementation.
What is IOException?,IOException is a checked exception for failed or interrupted I/O operations.
What is FileNotFoundException?,FileNotFoundException is thrown when a file is not found or inaccessible.
java exceptions file io summary,"Exception handling: try, catch, finally, throw, throws, custom exceptions. File I/O: FileReader/Writer, BufferedReader/Writer, Files API. Serialization & Deserialization. NIO: Path, Files, Channels, ByteBuffer."
Create ArrayList example,"ArrayList<String> list = new ArrayList<>(); list.add(""A""); list.add(""B"");"
Access elements in ArrayList,String s = list.get(0);
Remove element from ArrayList,list.remove(0);
Iterate ArrayList using for-each,for(String s : list) System.out.println(s);
Add elements to LinkedList,LinkedList<Integer> ll = new LinkedList<>(); ll.add(10); ll.addFirst(5); ll.addLast(20);
Remove element from LinkedList,ll.removeFirst(); ll.removeLast();
What is Set in Java?,Set is a collection that contains no duplicate elements.
HashSet example,"HashSet<String> hs = new HashSet<>(); hs.add(""A""); hs.add(""B"");"
TreeSet example,TreeSet<Integer> ts = new TreeSet<>(); ts.add(3); ts.add(1); ts.add(2);
What is Map in Java?,Map stores key-value pairs; keys are unique.
Access value from HashMap,"int val = map.get(""A"");"
TreeMap example,"TreeMap<String,Integer> tm = new TreeMap<>(); tm.put(""C"",3); tm.put(""A"",1);"
Queue interface in Java,"Queue stores elements in FIFO order; implemented by LinkedList, PriorityQueue."
PriorityQueue example,PriorityQueue<Integer> pq = new PriorityQueue<>(); pq.add(10); pq.add(5);
Deque in Java,Deque is double-ended queue; implemented by LinkedList or ArrayDeque.
ArrayDeque example,"ArrayDeque<String> dq = new ArrayDeque<>(); dq.addFirst(""A""); dq.addLast(""B"");"
Generic method example,static <T> void print(T val){ System.out.println(val); }
Bounded generic example,class NumberBox<T extends Number>{ T value; }
Remove elements using Iterator,"Iterator<String> it = list.iterator(); while(it.hasNext()){ if(it.next().equals(""A"")) it.remove(); }"
Comparable example,class Person implements Comparable<Person>{ int age; public int compareTo(Person p){ return this.age - p.age; } }
Comparator example,"Comparator<Person> cmp = (p1,p2) -> p1.age - p2.age; Collections.sort(list, cmp);"
Remove duplicates from ArrayList,"List<Integer> l = Arrays.asList(1,2,2,3); Set<Integer> s = new HashSet<>(l); l = new ArrayList<>(s);"
Sort ArrayList of integers,Collections.sort(list);
Reverse ArrayList,Collections.reverse(list);
Find max in ArrayList,int max = Collections.max(list);
Find min in ArrayList,int min = Collections.min(list);
Convert array to ArrayList,"Integer[] arr = {1,2,3}; List<Integer> list = new ArrayList<>(Arrays.asList(arr));"
Convert ArrayList to array,Integer[] arr = list.toArray(new Integer[0]);
Count frequency of elements using HashMap,"Map<Integer,Integer> freq = new HashMap<>(); for(int x:arr) freq.put(x,freq.getOrDefault(x,0)+1);"
Merge two HashMaps,map1.putAll(map2);
Check if key exists in Map,"if(map.containsKey(""A"")) System.out.println(""Exists"");"
Union of two sets,"Set<Integer> set1 = new HashSet<>(Arrays.asList(1,2)); Set<Integer> set2 = new HashSet<>(Arrays.asList(2,3)); set1.addAll(set2);"
Intersection of two sets,set1.retainAll(set2);
Difference of two sets,set1.removeAll(set2);
Peek and Poll from Queue,int head = queue.peek(); int removed = queue.poll();
Add and remove from Deque,deque.addFirst(1); deque.addLast(2); deque.removeFirst(); deque.removeLast();
Collections.shuffle example,Collections.shuffle(list);
Collections.sort with Comparator,"Collections.sort(list, (a,b)->b-a);"
Convert List to Set,Set<Integer> s = new HashSet<>(list);
Convert Set to List,List<Integer> l = new ArrayList<>(set);
java collections summary,"Java Collections: List (ArrayList, LinkedList), Set (HashSet, TreeSet), Map (HashMap, TreeMap), Queue, Deque. Generics, Iterators, Comparable, Comparator, Collections utility methods."
What is multithreading in Java?,Multithreading is a process of executing multiple threads simultaneously to improve performance.
What is a thread?,A thread is a lightweight sub-process that shares memory but executes independently.
How to create a thread in Java?,By extending Thread class or implementing Runnable interface.
Example using Thread class,"class MyThread extends Thread { public void run(){ System.out.println(""Running""); } } new MyThread().start();"
Example using Runnable interface,"class MyRunnable implements Runnable { public void run(){ System.out.println(""Running""); } } new Thread(new MyRunnable()).start();"
Difference between start() and run(),start() creates a new thread and calls run(); run() executes in the current thread.
Thread sleep example,Thread.sleep(1000); // pauses for 1 second
Thread join example,t1.start(); t1.join(); // waits for t1 to finish
Thread yield example,Thread.yield(); // gives chance to other threads
Thread priority in Java,"Threads have priority 1 (MIN) to 10 (MAX), default 5 (NORM)."
What is synchronization in Java?,Synchronization ensures that only one thread accesses a shared resource at a time.
Synchronized method example,"synchronized void print(){ System.out.println(""Hello""); }"
Synchronized block example,"synchronized(this){ System.out.println(""Safe block""); }"
Static synchronized method,"static synchronized void demo(){ System.out.println(""Static lock""); }"
What is inter-thread communication?,"It allows threads to communicate using wait(), notify(), and notifyAll()."
"wait(), notify(), notifyAll() example",synchronized(obj){ obj.wait(); obj.notify(); obj.notifyAll(); }
Why use wait() in synchronized block?,Because it releases the lock and allows other threads to acquire it.
Thread lifecycle states,"New, Runnable, Running, Blocked/Waiting, Terminated."
Check if thread is alive,t1.isAlive();
Stop a thread,Use a flag instead of deprecated stop(). Example: while(running){ ... }
What is daemon thread?,Daemon threads run in the background and terminate when all user threads finish.
Example of daemon thread,Thread t = new Thread(task); t.setDaemon(true); t.start();
What is ThreadGroup?,A ThreadGroup represents a group of related threads.
Create ThreadGroup example,"ThreadGroup tg = new ThreadGroup(""MyGroup""); Thread t1 = new Thread(tg, task);"
What is ReentrantLock in Java?,A lock that allows threads to re-enter the same lock multiple times.
ReentrantLock example,Lock lock = new ReentrantLock(); lock.lock(); try{...} finally{lock.unlock();}
What is Executor framework?,It provides a high-level API for managing threads using ThreadPool.
ExecutorService example,ExecutorService ex = Executors.newFixedThreadPool(2); ex.execute(new Task()); ex.shutdown();
Callable and Future example,Future<Integer> f = ex.submit(() -> 10); int res = f.get();
SingleThreadExecutor example,ExecutorService ex = Executors.newSingleThreadExecutor(); ex.execute(task); ex.shutdown();
What is CountDownLatch?,A synchronization aid that allows threads to wait until a set of operations complete.
CountDownLatch example,CountDownLatch latch = new CountDownLatch(3); latch.countDown(); latch.await();
What is Semaphore?,Semaphore controls number of threads accessing a resource.
Semaphore example,Semaphore sem = new Semaphore(2); sem.acquire(); sem.release();
What is CyclicBarrier?,A barrier that allows threads to wait for each other to reach a common point.
CyclicBarrier example,CyclicBarrier cb = new CyclicBarrier(3); cb.await();
Fixed Thread Pool example,ExecutorService pool = Executors.newFixedThreadPool(4); for(int i=0;i<5;i++) pool.execute(task);
Cached Thread Pool example,ExecutorService pool = Executors.newCachedThreadPool(); pool.execute(task);
Scheduled Thread Pool example,"ScheduledExecutorService ses = Executors.newScheduledThreadPool(1); ses.schedule(task, 5, TimeUnit.SECONDS);"
What is ConcurrentHashMap?,ConcurrentHashMap allows concurrent access by multiple threads without synchronization on whole map.
ConcurrentHashMap example,"ConcurrentHashMap<String,Integer> map = new ConcurrentHashMap<>(); map.put(""A"",1);"
What is AtomicInteger?,AtomicInteger provides atomic operations on int values.
AtomicInteger example,AtomicInteger count = new AtomicInteger(0); count.incrementAndGet();
What is ThreadLocal?,ThreadLocal provides thread-local variables unique to each thread.
ThreadLocal example,ThreadLocal<Integer> tl = ThreadLocal.withInitial(() -> 0); tl.set(10);
Print numbers from 1 to 5 using two threads alternately,Use wait() and notify() to alternate between even and odd threads.
Demonstrate thread synchronization with shared counter,synchronized void increment(){ count++; }
Demonstrate race condition,"If two threads modify same variable without sync, result may be inconsistent."
Java concurrency summary,"Java multithreading involves Thread, Runnable, Executor framework, synchronization, locks, wait/notify, and concurrent collections."
What is file handling in Java?,File handling allows Java programs to read and write data to files using java.io and java.nio packages.
Which package is used for file handling?,java.io and java.nio packages are used for file handling.
How to create a file in Java?,"File f = new File(""demo.txt""); f.createNewFile();"
How to check if file exists?,"File f = new File(""data.txt""); if(f.exists()) System.out.println(""Exists"");"
How to delete a file?,"File f = new File(""old.txt""); f.delete();"
How to write to a file using FileWriter?,"FileWriter fw = new FileWriter(""out.txt""); fw.write(""Hello""); fw.close();"
How to read from file using FileReader?,"FileReader fr = new FileReader(""data.txt""); int ch; while((ch=fr.read())!=-1) System.out.print((char)ch); fr.close();"
BufferedReader example,"BufferedReader br = new BufferedReader(new FileReader(""data.txt"")); String line; while((line=br.readLine())!=null) System.out.println(line); br.close();"
BufferedWriter example,"BufferedWriter bw = new BufferedWriter(new FileWriter(""out.txt"")); bw.write(""Hi""); bw.newLine(); bw.close();"
Read file using Scanner,"Scanner sc = new Scanner(new File(""data.txt"")); while(sc.hasNextLine()) System.out.println(sc.nextLine()); sc.close();"
What is JDBC?,JDBC (Java Database Connectivity) is an API that allows Java programs to connect and execute queries on databases.
Steps to connect JDBC to database,"Load driver, create connection, create statement, execute query, close connection."
JDBC connection example,"Connection con = DriverManager.getConnection(""jdbc:mysql://localhost:3306/db"",""user"",""pass"");"
PreparedStatement example,"PreparedStatement ps = con.prepareStatement(""INSERT INTO emp VALUES (?,?)""); ps.setInt(1,1); ps.setString(2,""John""); ps.executeUpdate();"
What is networking in Java?,Java networking allows communication between computers using the java.net package.
Socket example,"Socket s = new Socket(""localhost"", 6666);"
ServerSocket example,ServerSocket ss = new ServerSocket(6666); Socket s = ss.accept();
What is HttpURLConnection?,HttpURLConnection is used to send HTTP requests and receive responses.
TCP vs UDP in Java,"TCP is connection-oriented using Socket/ServerSocket, UDP is connectionless using DatagramSocket."
What is Spring Framework?,Spring is a lightweight Java framework used to build enterprise applications through dependency injection and aspect-oriented programming.
What is Dependency Injection in Spring?,Dependency Injection (DI) allows Spring to automatically provide required objects instead of manually creating them.
What is Inversion of Control (IoC)?,IoC is a design principle where object creation and management are delegated to the Spring container.
What are Spring Beans?,Beans are objects that form the backbone of a Spring application and are managed by the Spring IoC container.
What is @Autowired used for?,@Autowired automatically injects dependencies by type without explicit configuration.
"Explain @Component, @Service, and @Repository.","@Component is generic, @Service is for business logic, and @Repository is for database operations."
